name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,categoria,rede
PREMIUM GRILLED CHICKEN RANCH BLT SANDWICH,2.3666663177847798,1.6669664722664002,4.519085268545215,1.0,2.029324058754962,3.2906352282058555,1.11496811705197,2.76352309662715,1.3135750496262724,2.987533906710278,1.1638729015737397,1.757765116668829,1.8796210584303599,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
BACON CLUBHOUSE CRISPY CHICKEN SANDWICH,3.2777771963079667,2.689648396408214,1.7820189485656033,2.7282005098328908,2.029324058754962,4.203164709361033,1.173789014148327,3.3513641288361997,1.5574667548911507,2.987533906710278,1.3277458031474791,1.9472063958360364,2.7592421168607197,2.718529008413802,SANDUICHE DE FRANGO/PEIXE,red
BACON CLUBHOUSE GRILLED CHICKEN SANDWICH,2.7918513944289334,2.111610787110667,1.6256151588524825,1.0,2.258062738478287,3.9051958991879143,1.1363575341779182,3.3513641288361997,1.487783410529757,3.2083710074558645,1.3277458031474791,2.1366476750032435,2.7592421168607197,2.718529008413802,SANDUICHE DE FRANGO/PEIXE,red
SOUTHERN STYLE CRISPY CHICKEN SANDWICH,2.305925592549901,1.844824198204107,1.2346056845696811,1.0,1.514662029377481,2.6946976078596165,1.11496811705197,2.1756820644181,1.2438917052648786,2.159394778914329,1.1638729015737397,1.075776511666883,1.8796210584303599,2.718529008413802,SANDUICHE DE FRANGO/PEIXE,red
MCCHICKEN,2.093333054227824,1.7114309037508268,1.2346056845696811,1.0,1.4002926895158185,2.4898440508655972,1.1069470856297396,2.1756820644181,1.1742083609034846,1.7729298526095525,1.0,1.075776511666883,1.5864140389535732,2.718529008413802,SANDUICHE DE FRANGO/PEIXE,red
BACON CHEDDAR MCCHICKEN,2.4577774056370982,2.06714635562624,1.5474132639959224,1.0,1.7434007091008061,3.3465043801133154,1.11496811705197,2.1756820644181,1.2090500330841816,2.2146040541007253,1.1638729015737397,1.3788825583344146,2.1728280779071465,2.718529008413802,SANDUICHE DE FRANGO/PEIXE,red
BACON BUFFALO RANCH MCCHICKEN,2.305925592549901,1.9337530611729603,1.3910094742828016,1.0,1.5718466993083124,3.3465043801133154,1.1096207627704833,2.1756820644181,1.2090500330841816,2.1041855037279324,1.0819364507868698,1.3788825583344146,1.8796210584303599,2.718529008413802,SANDUICHE DE FRANGO/PEIXE,red
BUFFALO RANCH MCCHICKEN,2.093333054227824,1.7114309037508268,1.2346056845696811,1.0,1.4002926895158185,2.8436820129461764,1.1069470856297396,2.1756820644181,1.1742083609034846,1.7729298526095525,1.0819364507868698,1.075776511666883,1.8796210584303599,2.718529008413802,SANDUICHE DE FRANGO/PEIXE,red
PREMIUM MCWRAP CHICKEN & BACON (CRISPY CHICKEN),2.913332844898692,2.4228618075016537,1.703817053709043,2.7282005098328908,1.9149547188932998,3.8679497979162742,1.1497259198816356,2.76352309662715,1.2438917052648786,2.7666968059646915,3.458093523606094,1.757765116668829,2.1728280779071465,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
PREMIUM MCWRAP CHICKEN & BACON (GRILLED CHICKEN),2.4577774056370982,1.844824198204107,1.5474132639959224,1.0,2.0865087286857937,3.551357937107335,1.1122944399112267,2.76352309662715,1.2090500330841816,2.987533906710278,3.458093523606094,1.9472063958360364,2.1728280779071465,3.2913720112184026,SANDUICHE DE FRANGO/PEIXE,red
