name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,sal,cafeína,categoria,rede
BREWED COFFEE - DARK ROAST SHORT,1.011102991015541,1.0,1.0,1.0,1.0,1.012370633394474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0191058849355559,BEBIDAS,#24704D
BREWED COFFEE - DARK ROAST TALL,1.0148039880207211,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0283648907120175,BEBIDAS,#24704D
BREWED COFFEE - DARK ROAST GRANDE,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0382117698711115,BEBIDAS,#24704D
BREWED COFFEE - DARK ROAST VENTI®,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.1199919212466907,1.0,0.0,1.0499692375237613,BEBIDAS,#24704D
BREWED COFFEE - DECAF PIKE PLACE® ROAST SHORT,1.011102991015541,1.0,1.0,1.0,1.0,1.012370633394474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.002204525184872,BEBIDAS,#24704D
BREWED COFFEE - DECAF PIKE PLACE® ROAST TALL,1.0148039880207211,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0029393669131625,BEBIDAS,#24704D
BREWED COFFEE - DECAF PIKE PLACE® ROAST GRANDE,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.003674208641453,BEBIDAS,#24704D
BREWED COFFEE - DECAF PIKE PLACE® ROAST VENTI®,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0044090503697436,BEBIDAS,#24704D
BREWED COFFEE - MEDIUM ROAST SHORT,1.011102991015541,1.0,1.0,1.0,1.0,1.012370633394474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0227800935770088,BEBIDAS,#24704D
BREWED COFFEE - MEDIUM ROAST TALL,1.0148039880207211,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0345375612296586,BEBIDAS,#24704D
BREWED COFFEE - MEDIUM ROAST GRANDE,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0455601871540177,BEBIDAS,#24704D
BREWED COFFEE - MEDIUM ROAST VENTI®,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.1199919212466907,1.0,0.0,1.0602570217198297,BEBIDAS,#24704D
